[2025-11-24 16:04:52] Config Loaded: {'project': 'test', 'save_path': './checkpoints/gsm-coconut', 'name': 'gsm-residual-probe', 'only_eval': False, 'coconut': True, 'decoupling_mode': 'residual', 'cot': False, 'no_thoughts': False, 'no_cot': False, 'c_thought': 2, 'epochs_per_stage': 3, 'max_latent_stage': 3, 'pad_latent_to_max': True, 'save_only_improve': False, 'uniform_prob': 0.0, 'model_id': 'openai-community/gpt2', 'load_model_path': 'None', 'seed': 0, 'resume': 3, 'bf16': False, 'train_path': 'data/gsm_train.json', 'val_path': 'data/gsm_valid.json', 'reset_optimizer': True, 'batch_size_training': 32, 'debug': False, 'gradient_accumulation_steps': 1, 'num_epochs': 25, 'lr': 0.0001, 'weight_decay': 0.01}
[2025-11-24 16:04:52] Save Directory: ./checkpoints/gsm-coconut/gsm-residual-probe
[2025-11-24 16:04:58] Initializing Coconut with mode: residual
[2025-11-24 16:04:58] Running FSDP on rank = 0
[2025-11-24 16:07:10] {"epoch": 4, "step": 48, "loss": 1.4024, "avg_alpha": 3.885, "avg_norm": 1679.8108, "avg_cosine": 0.9505}
[2025-11-24 16:07:12] {"epoch": 4, "step": 49, "loss": 1.3386, "avg_alpha": 4.0418, "avg_norm": 1771.6858, "avg_cosine": 0.964}
[2025-11-24 16:07:14] {"epoch": 4, "step": 50, "loss": 1.3478, "avg_alpha": 4.0867, "avg_norm": 1779.0852, "avg_cosine": 0.9719}
[2025-11-24 16:07:15] {"epoch": 4, "step": 51, "loss": 1.3305, "avg_alpha": 3.8051, "avg_norm": 1642.1067, "avg_cosine": 0.9644}
[2025-11-24 16:07:17] {"epoch": 4, "step": 52, "loss": 1.4773, "avg_alpha": 3.9268, "avg_norm": 1675.2664, "avg_cosine": 0.958}
[2025-11-24 16:07:18] {"epoch": 4, "step": 53, "loss": 1.5169, "avg_alpha": 3.916, "avg_norm": 1647.9907, "avg_cosine": 0.9612}
[2025-11-24 16:07:20] {"epoch": 4, "step": 54, "loss": 1.3628, "avg_alpha": 3.8552, "avg_norm": 1625.0371, "avg_cosine": 0.972}
[2025-11-24 16:07:21] {"epoch": 4, "step": 55, "loss": 1.3249, "avg_alpha": 3.8173, "avg_norm": 1574.5293, "avg_cosine": 0.9557}
[2025-11-24 16:07:23] {"epoch": 4, "step": 56, "loss": 1.3756, "avg_alpha": 3.5981, "avg_norm": 1470.4871, "avg_cosine": 0.9631}
[2025-11-24 16:07:24] {"epoch": 4, "step": 57, "loss": 1.4419, "avg_alpha": 3.5587, "avg_norm": 1418.6404, "avg_cosine": 0.9482}
[2025-11-24 16:07:25] {"epoch": 4, "step": 58, "loss": 1.4418, "avg_alpha": 3.754, "avg_norm": 1570.0028, "avg_cosine": 0.9508}
[2025-11-24 16:07:27] {"epoch": 4, "step": 59, "loss": 1.3888, "avg_alpha": 3.4554, "avg_norm": 1415.1775, "avg_cosine": 0.9485}
