[2025-11-25 16:01:24] Config Loaded: {'project': 'test', 'save_path': './checkpoints/gsm-coconut', 'name': 'gsm-residual-probe-update_II', 'only_eval': False, 'coconut': True, 'decoupling_mode': 'residual', 'cot': False, 'no_thoughts': False, 'no_cot': False, 'c_thought': 2, 'epochs_per_stage': 3, 'max_latent_stage': 3, 'pad_latent_to_max': True, 'save_only_improve': False, 'uniform_prob': 0.0, 'model_id': 'openai-community/gpt2', 'load_model_path': 'None', 'seed': 0, 'resume': 3, 'bf16': False, 'train_path': 'data/gsm_train.json', 'val_path': 'data/gsm_valid.json', 'reset_optimizer': True, 'batch_size_training': 32, 'debug': False, 'gradient_accumulation_steps': 1, 'num_epochs': 25, 'lr': 0.0001, 'weight_decay': 0.01}
[2025-11-25 16:01:24] Save Directory: ./checkpoints/gsm-coconut/gsm-residual-probe-update_II
[2025-11-25 16:01:31] Initializing Coconut with mode: residual
[2025-11-25 16:01:31] Running FSDP on rank = 0
[2025-11-25 16:03:58] {"epoch": 4, "step": 47, "loss": 1.4902, "avg_alpha": 0.9267, "avg_norm": 585.6133, "avg_cosine": 0.9612, "reg_loss": 0.3545}
[2025-11-25 16:04:01] {"epoch": 4, "step": 48, "loss": 1.4116, "avg_alpha": 0.9413, "avg_norm": 591.5245, "avg_cosine": 0.956, "reg_loss": 0.3095}
[2025-11-25 16:04:05] {"epoch": 4, "step": 49, "loss": 1.338, "avg_alpha": 0.9624, "avg_norm": 628.7236, "avg_cosine": 0.9718, "reg_loss": 0.3467}
[2025-11-25 16:04:08] {"epoch": 4, "step": 50, "loss": 1.3601, "avg_alpha": 0.9674, "avg_norm": 638.0499, "avg_cosine": 0.979, "reg_loss": 0.3377}
[2025-11-25 16:04:10] {"epoch": 4, "step": 51, "loss": 1.3296, "avg_alpha": 0.9557, "avg_norm": 622.6193, "avg_cosine": 0.9724, "reg_loss": 0.3251}
[2025-11-25 16:04:12] {"epoch": 4, "step": 52, "loss": 1.4825, "avg_alpha": 0.9754, "avg_norm": 635.0868, "avg_cosine": 0.968, "reg_loss": 0.3103}
[2025-11-25 16:04:13] {"epoch": 4, "step": 53, "loss": 1.5309, "avg_alpha": 0.9739, "avg_norm": 642.3446, "avg_cosine": 0.9736, "reg_loss": 0.3097}
[2025-11-25 16:04:15] {"epoch": 4, "step": 54, "loss": 1.3826, "avg_alpha": 0.9748, "avg_norm": 645.0438, "avg_cosine": 0.9783, "reg_loss": 0.3332}
[2025-11-25 16:04:17] {"epoch": 4, "step": 55, "loss": 1.3349, "avg_alpha": 0.9722, "avg_norm": 634.23, "avg_cosine": 0.9696, "reg_loss": 0.3414}
[2025-11-25 16:04:19] {"epoch": 4, "step": 56, "loss": 1.3821, "avg_alpha": 0.9666, "avg_norm": 623.0884, "avg_cosine": 0.971, "reg_loss": 0.3058}
[2025-11-25 16:04:21] {"epoch": 4, "step": 57, "loss": 1.4429, "avg_alpha": 0.9382, "avg_norm": 592.816, "avg_cosine": 0.9554, "reg_loss": 0.2353}
[2025-11-25 16:04:23] {"epoch": 4, "step": 58, "loss": 1.4462, "avg_alpha": 0.9724, "avg_norm": 634.0464, "avg_cosine": 0.9643, "reg_loss": 0.2902}
[2025-11-25 16:04:25] {"epoch": 4, "step": 59, "loss": 1.4037, "avg_alpha": 0.963, "avg_norm": 597.126, "avg_cosine": 0.9624, "reg_loss": 0.298}
[2025-11-25 16:04:27] {"epoch": 4, "step": 60, "loss": 1.3764, "avg_alpha": 0.9749, "avg_norm": 629.2032, "avg_cosine": 0.9849, "reg_loss": 0.2967}
[2025-11-25 16:04:28] {"epoch": 4, "step": 61, "loss": 1.3542, "avg_alpha": 0.9682, "avg_norm": 614.3541, "avg_cosine": 0.971, "reg_loss": 0.3147}
[2025-11-25 16:04:30] {"epoch": 4, "step": 62, "loss": 1.4257, "avg_alpha": 0.9649, "avg_norm": 616.5166, "avg_cosine": 0.9625, "reg_loss": 0.3044}
[2025-11-25 16:04:31] {"epoch": 4, "step": 63, "loss": 1.4102, "avg_alpha": 0.954, "avg_norm": 594.3968, "avg_cosine": 0.9696, "reg_loss": 0.2693}
[2025-11-25 16:04:33] {"epoch": 4, "step": 64, "loss": 1.3413, "avg_alpha": 0.9544, "avg_norm": 590.2909, "avg_cosine": 0.9678, "reg_loss": 0.2264}
[2025-11-25 16:04:36] {"epoch": 4, "step": 65, "loss": 1.3147, "avg_alpha": 0.9669, "avg_norm": 621.5766, "avg_cosine": 0.9774, "reg_loss": 0.278}
[2025-11-25 16:04:38] {"epoch": 4, "step": 66, "loss": 1.343, "avg_alpha": 0.9516, "avg_norm": 596.2831, "avg_cosine": 0.9562, "reg_loss": 0.3011}
[2025-11-25 16:04:40] {"epoch": 4, "step": 67, "loss": 1.3898, "avg_alpha": 0.9644, "avg_norm": 600.5231, "avg_cosine": 0.9611, "reg_loss": 0.2239}
[2025-11-25 16:04:41] {"epoch": 4, "step": 68, "loss": 1.3144, "avg_alpha": 0.9557, "avg_norm": 599.1819, "avg_cosine": 0.9725, "reg_loss": 0.2567}
[2025-11-25 16:04:43] {"epoch": 4, "step": 69, "loss": 1.4022, "avg_alpha": 0.9647, "avg_norm": 611.6389, "avg_cosine": 0.9743, "reg_loss": 0.2412}
[2025-11-25 16:04:47] {"epoch": 4, "step": 70, "loss": 1.2231, "avg_alpha": 0.9503, "avg_norm": 611.0969, "avg_cosine": 0.9733, "reg_loss": 0.1986}
[2025-11-25 16:04:49] {"epoch": 4, "step": 71, "loss": 1.2435, "avg_alpha": 0.9654, "avg_norm": 616.0004, "avg_cosine": 0.9605, "reg_loss": 0.2075}
[2025-11-25 16:04:50] {"epoch": 4, "step": 72, "loss": 1.367, "avg_alpha": 0.9619, "avg_norm": 600.8304, "avg_cosine": 0.971, "reg_loss": 0.2635}
[2025-11-25 16:04:52] {"epoch": 4, "step": 73, "loss": 1.2721, "avg_alpha": 0.9627, "avg_norm": 618.1588, "avg_cosine": 0.9694, "reg_loss": 0.2782}
[2025-11-25 16:04:56] {"epoch": 4, "step": 74, "loss": 1.189, "avg_alpha": 0.9634, "avg_norm": 624.3549, "avg_cosine": 0.9747, "reg_loss": 0.2617}
[2025-11-25 16:04:57] {"epoch": 4, "step": 75, "loss": 1.1916, "avg_alpha": 0.9526, "avg_norm": 612.968, "avg_cosine": 0.9698, "reg_loss": 0.1881}
[2025-11-25 16:04:59] {"epoch": 4, "step": 76, "loss": 1.2313, "avg_alpha": 0.9422, "avg_norm": 588.6194, "avg_cosine": 0.955, "reg_loss": 0.172}
[2025-11-25 16:05:02] {"epoch": 4, "step": 77, "loss": 1.4302, "avg_alpha": 0.9663, "avg_norm": 635.5201, "avg_cosine": 0.9807, "reg_loss": 0.1815}
[2025-11-25 16:05:04] {"epoch": 4, "step": 78, "loss": 1.3058, "avg_alpha": 0.9589, "avg_norm": 612.0089, "avg_cosine": 0.9675, "reg_loss": 0.1297}
[2025-11-25 16:05:05] {"epoch": 4, "step": 79, "loss": 1.2622, "avg_alpha": 0.9604, "avg_norm": 636.3331, "avg_cosine": 0.9824, "reg_loss": 0.2211}
[2025-11-25 16:05:07] {"epoch": 4, "step": 80, "loss": 1.3133, "avg_alpha": 0.9597, "avg_norm": 612.4774, "avg_cosine": 0.9718, "reg_loss": 0.1682}
[2025-11-25 16:05:10] {"epoch": 4, "step": 81, "loss": 1.3379, "avg_alpha": 0.9502, "avg_norm": 600.8207, "avg_cosine": 0.9738, "reg_loss": 0.1953}
[2025-11-25 16:05:11] {"epoch": 4, "step": 82, "loss": 1.4219, "avg_alpha": 0.9602, "avg_norm": 623.653, "avg_cosine": 0.9788, "reg_loss": 0.2309}
[2025-11-25 16:05:14] {"epoch": 4, "step": 83, "loss": 1.2868, "avg_alpha": 0.9503, "avg_norm": 607.2175, "avg_cosine": 0.9599, "reg_loss": 0.2202}
[2025-11-25 16:05:15] {"epoch": 4, "step": 84, "loss": 1.203, "avg_alpha": 0.9505, "avg_norm": 620.234, "avg_cosine": 0.968, "reg_loss": 0.1973}
[2025-11-25 16:05:18] {"epoch": 4, "step": 85, "loss": 1.2963, "avg_alpha": 0.9463, "avg_norm": 601.8513, "avg_cosine": 0.9623, "reg_loss": 0.1507}
[2025-11-25 16:05:21] {"epoch": 4, "step": 86, "loss": 1.149, "avg_alpha": 0.9551, "avg_norm": 626.9532, "avg_cosine": 0.9729, "reg_loss": 0.1791}
[2025-11-25 16:05:22] {"epoch": 4, "step": 87, "loss": 1.2124, "avg_alpha": 0.9352, "avg_norm": 609.6245, "avg_cosine": 0.9756, "reg_loss": 0.126}
[2025-11-25 16:05:24] {"epoch": 4, "step": 88, "loss": 1.1734, "avg_alpha": 0.9273, "avg_norm": 606.9511, "avg_cosine": 0.9732, "reg_loss": 0.1567}
[2025-11-25 16:05:27] {"epoch": 4, "step": 89, "loss": 1.2029, "avg_alpha": 0.9435, "avg_norm": 618.4949, "avg_cosine": 0.9702, "reg_loss": 0.1828}
[2025-11-25 16:05:29] {"epoch": 4, "step": 90, "loss": 1.2461, "avg_alpha": 0.9327, "avg_norm": 634.8278, "avg_cosine": 0.9816, "reg_loss": 0.2029}
[2025-11-25 16:05:30] {"epoch": 4, "step": 91, "loss": 1.236, "avg_alpha": 0.9203, "avg_norm": 609.0665, "avg_cosine": 0.9722, "reg_loss": 0.1661}
[2025-11-25 16:05:32] {"epoch": 4, "step": 92, "loss": 1.2273, "avg_alpha": 0.9099, "avg_norm": 608.0243, "avg_cosine": 0.9723, "reg_loss": 0.1623}
[2025-11-25 16:05:33] {"epoch": 4, "step": 93, "loss": 1.2775, "avg_alpha": 0.9086, "avg_norm": 591.2513, "avg_cosine": 0.9675, "reg_loss": 0.128}
[2025-11-25 16:05:35] {"epoch": 4, "step": 94, "loss": 1.2852, "avg_alpha": 0.8867, "avg_norm": 591.6556, "avg_cosine": 0.9645, "reg_loss": 0.1684}
[2025-11-25 16:05:37] {"epoch": 4, "step": 95, "loss": 1.3199, "avg_alpha": 0.904, "avg_norm": 612.6553, "avg_cosine": 0.969, "reg_loss": 0.1552}
[2025-11-25 16:05:39] {"epoch": 4, "step": 96, "loss": 1.2494, "avg_alpha": 0.9026, "avg_norm": 619.6475, "avg_cosine": 0.9763, "reg_loss": 0.1681}
